id,label,coords
H1_00000008_00000194_00000001,-1,
H1_00000008_00000194_00000002,-1,
H1_00000008_00000194_00000003,-1,
H1_00000008_00000194_00000004,1,249 132 244 125 253 142 250 117
H1_00000008_00000194_00000005,-1,
H1_00000008_00000194_00000006,-1,
H1_00000008_00000194_00000007,-1,
H1_00000008_00000194_00000008,-1,
H1_00000008_00000194_00000009,1,97 185
H1_00000008_00000194_00000010,-1,
H1_00000008_00000194_00000011,-1,
H1_00000008_00000194_00000012,-1,
H1_00000008_00000194_00000013,-1,
H1_00000008_00000194_00000014,-1,
H1_00000008_00000194_00000015,-1,
H1_00000008_00000194_00000016,-1,
H1_00000008_00000194_00000017,-1,
H1_00000008_00000194_00000018,-1,
H1_00000008_00000194_00000019,-1,
H1_00000008_00000194_00000020,-1,
H1_00000008_00000194_00000021,-1,
H1_00000008_00000194_00000022,1,216 105
H1_00000008_00000194_00000023,1,213 117 220 131
H1_00000008_00000194_00000024,1,224 148 214 131
H1_00000008_00000194_00000025,1,173 228 229 166 219 152
H1_00000008_00000194_00000026,1,238 351 244 177 252 187 228 166
H1_00000008_00000194_00000027,1,244 313 245 325 250 237 287 270 249 209 242 337 247 228 252 196
H1_00000008_00000194_00000028,1,246 309 252 287 251 275 253 262 252 245 246 228
H1_00000015_00000965_00000001,0,
H1_00000015_00000965_00000002,0,
H1_00000015_00000965_00000003,0,
H1_00000015_00000965_00000004,0,
H1_00000015_00000965_00000005,0,
H1_00000015_00000965_00000006,0,
H1_00000015_00000965_00000007,0,
H1_00000015_00000965_00000008,0,
H1_00000015_00000965_00000009,0,
H1_00000015_00000965_00000010,0,
H1_00000015_00000965_00000011,0,
H1_00000015_00000965_00000012,0,
H1_00000015_00000965_00000013,0,
H1_00000015_00000965_00000014,0,
H1_00000015_00000965_00000015,0,
H1_00000015_00000965_00000016,0,
H1_00000015_00000965_00000017,0,
H1_00000015_00000965_00000018,0,
H1_00000015_00000965_00000019,0,
H1_00000015_00000965_00000020,0,
H1_00000015_00000965_00000021,0,
H1_00000015_00000965_00000022,0,
H1_00000015_00000965_00000023,0,
H1_00000015_00000965_00000024,0,
H1_00000015_00000965_00000025,0,
H1_00000015_00000965_00000026,0,
H1_00000026_00000990_00000001,0,
H1_00000026_00000990_00000002,0,
H1_00000026_00000990_00000003,0,
H1_00000026_00000990_00000004,0,
H1_00000026_00000990_00000005,0,
H1_00000026_00000990_00000006,0,
H1_00000026_00000990_00000007,0,
H1_00000026_00000990_00000008,0,
H1_00000026_00000990_00000009,0,
H1_00000026_00000990_00000010,0,
H1_00000026_00000990_00000011,0,
H1_00000026_00000990_00000012,0,
H1_00000026_00000990_00000013,0,
H1_00000026_00000990_00000014,0,
H1_00000026_00000990_00000015,0,
H1_00000026_00000990_00000016,0,
H1_00000026_00000990_00000017,0,
H1_00000026_00000990_00000018,0,
H1_00000026_00000990_00000019,0,
H1_00000026_00000990_00000020,0,
H1_00000026_00000990_00000021,0,
H1_00000026_00000990_00000022,0,
H1_00000026_00000990_00000023,0,
H1_00000026_00000990_00000024,0,
H1_00000026_00000990_00000025,0,
H1_00000026_00000990_00000026,0,
H1_00000026_00000990_00000027,0,
H1_00000042_00000416_00000001,-1,
H1_00000042_00000416_00000002,-1,
H1_00000042_00000416_00000003,-1,
H1_00000042_00000416_00000004,1,158 158
H1_00000042_00000416_00000005,1,150 210
H1_00000042_00000416_00000006,-1,
H1_00000042_00000416_00000007,-1,
H1_00000042_00000416_00000008,-1,
H1_00000042_00000416_00000009,-1,
H1_00000042_00000416_00000010,-1,
H1_00000042_00000416_00000011,-1,
H1_00000042_00000416_00000012,-1,
H1_00000042_00000416_00000013,-1,
H1_00000042_00000416_00000014,-1,
H1_00000042_00000416_00000015,-1,
H1_00000042_00000416_00000016,-1,
H1_00000042_00000416_00000017,-1,
H1_00000042_00000416_00000018,-1,
H1_00000042_00000416_00000019,-1,
H1_00000042_00000416_00000020,-1,
H1_00000042_00000416_00000021,-1,
H1_00000042_00000416_00000022,-1,
H1_00000042_00000416_00000023,-1,
H1_00000042_00000416_00000024,-1,
H1_00000042_00000416_00000025,-1,
H1_00000042_00000416_00000026,-1,
H1_00000042_00000416_00000027,-1,
